siteId,ts,nox,no2,no,pm10,nvpm10,vpm10,nvpm2.5,pm2.5,vpm2.5,co,o3,so2,loc,lat,long
500,1500879600,95.30984,48.44132,30.56685,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1500890400,96.96879,49.41645,31.01283,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1500897600,71.81684,38.9931,21.40709,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1500930000,81.44951,49.83561,20.61804,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1500937200,43.66807,33.62106,6.55249,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1500955200,189.71971,55.80566,87.33647,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1500962400,183.34573,53.43068,84.72838,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1500966000,155.60016,59.25571,62.83421,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1501030800,27.80622,26.05173,1.14425,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1501056000,96.17807,35.7533,39.40801,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1501074000,49.96542,20.17411,19.42939,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1501081200,34.79352,20.52948,9.30276,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1501106400,10.29331,7.50366,1.81936,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1501142400,81.83006,36.81332,29.35915,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1501146000,55.48346,24.47193,20.22519,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1501182000,33.26862,21.68536,7.5544,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1501192800,74.10315,33.66707,26.37173,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1501221600,79.91623,35.4122,29.02477,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1501243200,115.7926,49.74757,43.07345,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1501264800,66.81169,27.2584,25.79598,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1501268400,58.80932,27.63017,20.33452,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1501272000,45.8659,22.85021,15.01045,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1501416000,33.51947,21.08223,8.11136,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1501524000,63.38311,32.75483,19.97525,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1501549200,11.80399,9.95834,1.2037,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1501570800,131.51478,52.8374,51.31206,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1501596000,42.8501,25.6592,11.21162,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1501614000,54.0612,33.38993,13.48145,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1501675200,96.99777,42.82437,35.33097,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1501714800,17.42507,14.20737,2.09853,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1501740000,55.45356,31.55079,15.58898,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1501747200,54.26566,29.94076,15.86429,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1501750800,44.49244,24.91644,12.76714,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1501765200,28.40173,18.16522,6.67608,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1501812000,4.26946,3.63608,0.41308,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1501894800,26.50501,22.22836,2.78916,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1501941600,44.46351,26.72332,11.56985,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1501948800,37.2152,24.80763,8.09201,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1501966800,25.58545,20.56962,3.27124,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1501999200,77.63669,35.64915,27.38356,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1502017200,20.35662,12.90978,4.85671,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1502074800,6.82769,5.66541,0.75802,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1502100000,39.01539,25.59635,8.75167,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1502154000,20.75436,15.04686,3.72233,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1502182800,203.06005,61.48246,92.3345,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1502265600,149.17302,62.47686,56.54177,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1502283600,161.71268,62.2764,64.85065,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
